7100	6615.878	93.1815	372726	0	1.35E+08	36928386	1405421	0	27274	0	0	0.009686	0.008383	0.016849	0.020057	0.02753	0.046931	0.105154	0.183135	304360	95640	0	1.04E+11	1.04E+11	64100.01521	11.84980224	93.07787866
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7200	6610.939	91.81875	367275	0	1.33E+08	36423401	1385029	0	32725	0	0	0.009932	0.008646	0.017114	0.020388	0.027755	0.047326	0.105472	0.206363	299940	100060	0	1.04E+11	1.04E+11	63107.58167	11.70174972	96.18631924
7300	6579.609	90.13175	360527	0	1.31E+08	35727344	1360107	0	39473	0	0	0.010212	0.009003	0.017466	0.020618	0.028198	0.048774	0.104455	0.183966	294479	105521	0	1.04E+11	1.04E+11	61688.84868	11.883308	92.57242066
7400	3087.886	41.72825	166913	189522	59476514	16335772	626806	0	43565	0	0	0.012156	0.010691	0.020255	0.023968	0.033842	0.064201	0.113568	0.192538	135741	264259	0	9.43E+10	1.04E+11	29641.96907	4.389273516	88.2777651
7500	6576.741	87.69	350760	0	1.27E+08	34757858	1323511	0	49240	0	0	0.010486	0.009234	0.017655	0.020871	0.028467	0.049218	0.106069	0.179471	286592	113408	0	1.04E+11	1.04E+11	62560.83648	11.69870662	92.92909914
7600	4588.531	60.3755	241502	107268	86663450	23780324	909275	0	51230	0	0	0.011258	0.009845	0.01889	0.022454	0.031161	0.058209	0.1066	0.204572	196898	203102	0	1.04E+11	1.04E+11	44298.62584	7.668629678	93.11982522
7700	6591.268	85.601	342404	0	1.23E+08	33778081	1291118	0	57596	0	0	0.0106	0.00928	0.017771	0.021027	0.028806	0.049378	0.106328	0.179777	279606	120394	0	1.04E+11	1.04E+11	61873.14692	11.97215509	93.57491775
7800	6577.36	84.32525	337301	0	1.21E+08	33286719	1272202	0	62699	0	0	0.010715	0.009381	0.017878	0.021198	0.029014	0.049602	0.106347	0.18551	275447	124553	0	1.04E+11	1.04E+11	61437.85598	11.31009022	93.27116188
7900	6574.446	83.221	332884	0	1.2E+08	32858406	1255723	0	67116	0	0	0.010794	0.00945	0.017961	0.021269	0.029066	0.04965	0.105669	0.176734	271941	128059	0	1.04E+11	1.04E+11	62151.14163	11.51328011	95.99947564
8000	3447.856	43.09825	172393	167229	61041947	16783884	646637	0	60378	0	0	0.012268	0.010846	0.020348	0.024158	0.03376	0.0622	0.105163	0.198611	139991	260009	0	1.04E+11	1.04E+11	33022.79142	5.331376538	93.0506348
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Perf	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
